DATA INICIAL,DATA FINAL,REGIAO,ESTADO,PRODUTO,NUMERO DE POSTOS PESQUISADOS,UNIDADE DE MEDIDA,PREÇO MEDIO REVENDA,DESVIO PADRAO REVENDA,PRECO MINIMO REVENDA,PRECO MAXIMO REVENDA,MARGEM MEDIA REVENDA,COEF DE VARIACAO REVENDA,PRECO MEDIO DISTRIBUICAO,DESVIO PADRAO DISTRIBUICAO,PREÇO MINIMO DISTRIBUICAO,PRECO MAXIMO DISTRIBUICAO,COEF DE VARIACAO DISTRIBUICAO
27/01/2013,02/02/2013,SUL,PARANA,GNV,8,R$/m3,1.731,0.051,1.659,1.799,0.217,0.029,1.514,0.000,1.514,1.514,0.000
27/01/2013,02/02/2013,NORDESTE,PERNAMBUCO,GNV,27,R$/m3,1.799,0.000,1.799,1.799,0.432,0.000,1.367,0.110,1.199,1.426,0.080
27/01/2013,02/02/2013,SUDESTE,RIO DE JANEIRO,GNV,178,R$/m3,1.658,0.147,1.399,2.149,0.331,0.089,1.327,0.128,1.067,1.510,0.096
27/01/2013,02/02/2013,NORDESTE,RIO GRANDE DO NORTE,GNV,16,R$/m3,1.896,0.045,1.870,2.060,0.456,0.024,1.440,0.081,1.266,1.494,0.056
27/01/2013,02/02/2013,SUL,RIO GRANDE DO SUL,GNV,26,R$/m3,1.979,0.043,1.919,2.140,0.521,0.022,1.458,0.068,1.401,1.565,0.047
27/01/2013,02/02/2013,SUL,SANTA CATARINA,GNV,36,R$/m3,2.002,0.059,1.860,2.189,0,0.029,0,0,0,0,0
27/01/2013,02/02/2013,SUDESTE,SAO PAULO,GNV,84,R$/m3,1.622,0.186,1.449,2.599,0.311,0.115,1.311,0.139,1.096,1.780,0.106
27/01/2013,02/02/2013,NORDESTE,SERGIPE,GNV,10,R$/m3,1.854,0.029,1.799,1.899,0.453,0.016,1.401,0.164,1.125,1.506,0.117
27/01/2013,02/02/2013,NORTE,ACRE,OLEO DIESEL,52,R$/l,2.664,0.137,2.420,2.940,0.382,0.051,2.282,0.124,2.094,2.570,0.054
27/01/2013,02/02/2013,NORDESTE,ALAGOAS,OLEO DIESEL,82,R$/l,2.118,0.043,2.020,2.198,0.203,0.020,1.915,0.034,1.859,2.030,0.018
27/01/2013,02/02/2013,NORTE,AMAPA,OLEO DIESEL,30,R$/l,2.232,0.109,2.160,2.550,0.233,0.049,1.999,0.036,1.939,2.050,0.018
27/01/2013,02/02/2013,NORTE,AMAZONAS,OLEO DIESEL,110,R$/l,2.222,0.122,2.025,2.620,0.214,0.055,2.008,0.029,1.950,2.100,0.014
27/01/2013,02/02/2013,NORDESTE,BAHIA,OLEO DIESEL,384,R$/l,2.101,0.083,1.929,2.390,0.218,0.040,1.883,0.060,1.780,2.126,0.032
27/01/2013,02/02/2013,NORDESTE,CEARA,OLEO DIESEL,125,R$/l,2.198,0.048,2.080,2.350,0.259,0.022,1.939,0.047,1.820,2.026,0.024
27/01/2013,02/02/2013,CENTRO OESTE,DISTRITO FEDERAL,OLEO DIESEL,71,R$/l,2.139,0.020,2.090,2.170,0.198,0.009,1.941,0.032,1.892,1.979,0.016
27/01/2013,02/02/2013,SUDESTE,ESPIRITO SANTO,OLEO DIESEL,176,R$/l,2.164,0.051,2.050,2.343,0.242,0.024,1.922,0.032,1.826,2.012,0.017
27/01/2013,02/02/2013,CENTRO OESTE,GOIAS,OLEO DIESEL,247,R$/l,2.161,0.078,1.990,2.399,0.208,0.036,1.953,0.044,1.890,2.119,0.023
27/01/2013,02/02/2013,NORDESTE,MARANHAO,OLEO DIESEL,142,R$/l,2.114,0.068,1.970,2.310,0.165,0.032,1.949,0.053,1.850,2.059,0.027
27/01/2013,02/02/2013,CENTRO OESTE,MATO GROSSO,OLEO DIESEL,122,R$/l,2.413,0.096,2.240,2.670,0.254,0.040,2.159,0.073,2.011,2.327,0.034
27/01/2013,02/02/2013,CENTRO OESTE,MATO GROSSO DO SUL,OLEO DIESEL,115,R$/l,2.304,0.074,2.100,2.480,0.240,0.032,2.064,0.046,1.875,2.199,0.022
27/01/2013,02/02/2013,SUDESTE,MINAS GERAIS,OLEO DIESEL,823,R$/l,2.175,0.072,1.960,2.495,0.212,0.033,1.963,0.055,1.750,2.131,0.028
27/01/2013,02/02/2013,NORTE,PARA,OLEO DIESEL,134,R$/l,2.328,0.103,2.050,2.600,0.292,0.044,2.036,0.053,1.940,2.154,0.026
27/01/2013,02/02/2013,NORDESTE,PARAIBA,OLEO DIESEL,110,R$/l,2.082,0.071,1.930,2.340,0.173,0.034,1.909,0.033,1.837,1.980,0.017
27/01/2013,02/02/2013,SUL,PARANA,OLEO DIESEL,443,R$/l,2.111,0.075,1.949,2.299,0.225,0.036,1.886,0.058,1.785,2.216,0.031
27/01/2013,02/02/2013,NORDESTE,PERNAMBUCO,OLEO DIESEL,142,R$/l,2.104,0.066,1.890,2.300,0.201,0.031,1.903,0.051,1.845,2.045,0.027
